Council	Year	Category	Breed	total	female	male	desexed	chipped	menacing	dangerous	probationary	disqualified	registered	infringements	prosecutions	destruction	injuries	paid_any_yr	paid_this_yr
Central Otago District	2015	DOG	Chihuahua, Long Coat	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Chihuahua, Smooth Coat	28	13	15	0	17	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Collie, Bearded	37	16	21	0	3	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Collie, Border	1340	613	727	0	76	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Collie, Rough	311	148	163	0	6	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Collie, Smooth	13	4	9	0	2	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Greyhound	9	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Heading	288	123	165	0	13	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Huntaway	490	200	290	0	18	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Maltese	26	11	15	0	18	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Poodle, Miniature	17	10	7	0	9	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Poodle, Toy	25	12	13	0	14	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Retriever, Golden	80	37	43	0	55	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Retriever, Labrador	427	209	218	0	247	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Rottweiler	30	9	21	0	26	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Schnauzer, Miniature	35	18	17	0	31	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Shepherd, German	47	17	30	0	37	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Shih Tzu	16	8	8	0	12	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Spaniel, Cavalier King Charles	25	14	11	0	16	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Spaniel, Cocker	44	21	23	0	29	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Spaniel, English Springer	80	35	45	0	48	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Terrier, American Pit Bull	3	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Terrier, Fox (Smooth)	112	55	57	1	49	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Terrier, Jack Russell	316	164	152	0	143	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Terrier, Staffordshire Bull	78	41	37	0	54	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	Terrier, West Highland White	33	15	18	0	24	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	DOG	_Unidentified_	635	323	312	0	372	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	OWN	_	0	0	0	0	0	0	0	0	0	2955	46	0	0	0	0	0
Central Otago District	2015	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2015	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	81	15797	20315
Central Otago District	2016	DOG	_ALL-PURE_	4403	2079	2324	493	1365	1	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	_ALL-CROSS_	1119	557	562	280	751	4	2	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	_ALL-DOGS_	5522	2636	2886	773	2116	5	2	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Beagle	10	4	6	4	9	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Bichon Frise	67	27	40	17	44	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Boxer	27	13	14	1	21	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Cattle, Australian	10	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Chihuahua, Long Coat	4	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Chihuahua, Smooth Coat	25	12	13	3	12	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Collie, Bearded	33	14	19	1	2	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Collie, Border	1206	557	649	41	77	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Collie, Rough	226	110	116	5	7	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Collie, Smooth	9	3	6	1	1	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Greyhound	7	5	2	2	2	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Heading	308	132	176	9	7	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Huntaway	493	202	291	16	18	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Maltese	22	7	15	4	15	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Poodle, Miniature	20	12	8	5	10	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Poodle, Toy	27	14	13	4	15	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Retriever, Golden	71	38	33	14	47	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Retriever, Labrador	439	218	221	79	264	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Rottweiler	22	6	16	5	20	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Schnauzer, Miniature	40	22	18	10	33	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Shepherd, German	45	20	25	10	40	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Shih Tzu	20	9	11	6	12	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Spaniel, Cavalier King Charles	20	12	8	2	14	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Spaniel, Cocker	47	23	24	10	31	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Spaniel, English Springer	85	37	48	16	51	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Terrier, American Pit Bull	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Terrier, Fox (Smooth)	104	51	53	16	48	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Terrier, Jack Russell	281	150	131	47	130	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Terrier, Staffordshire Bull	74	38	36	18	48	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	Terrier, West Highland White	33	16	17	17	23	0	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	DOG	_Unidentified_	626	317	309	125	360	1	0	0	0	0	0	0	0	0	0	0
Central Otago District	2016	OWN	_	0	0	0	0	0	0	0	0	0	2903	37	0	0	0	0	0
Chatham Islands	2001	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
Chatham Islands	2002	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	4	220	0
Chatham Islands	2005	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
Chatham Islands	2006	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	467
Chatham Islands	2009	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2010	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	4	390	390
Chatham Islands	2011	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14
Chatham Islands	2012	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2012	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Chatham Islands	2013	DOG	_ALL-PURE_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	_ALL-CROSS_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	_ALL-DOGS_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Beagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Bichon Frise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Boxer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Cattle, Australian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Chihuahua, Long Coat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Chihuahua, Smooth Coat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Collie, Bearded	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Collie, Border	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Collie, Rough	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Collie, Smooth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Greyhound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Heading	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Huntaway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Maltese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Poodle, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Poodle, Toy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Retriever, Golden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Retriever, Labrador	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Rottweiler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Schnauzer, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Shepherd, German	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Shih Tzu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Spaniel, Cavalier King Charles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Spaniel, Cocker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Spaniel, English Springer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Terrier, American Pit Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Terrier, Fox (Smooth)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Terrier, Jack Russell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Terrier, Staffordshire Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	Terrier, West Highland White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	DOG	_Unidentified_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	OWN	_	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Chatham Islands	2013	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2013	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	89
Chatham Islands	2014	DOG	_ALL-PURE_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	_ALL-CROSS_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	_ALL-DOGS_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Beagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Bichon Frise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Boxer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Cattle, Australian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Chihuahua, Long Coat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Chihuahua, Smooth Coat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Collie, Bearded	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Collie, Border	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Collie, Rough	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Collie, Smooth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Greyhound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Heading	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Huntaway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Maltese	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Poodle, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Poodle, Toy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Retriever, Golden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Retriever, Labrador	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Rottweiler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Schnauzer, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Shepherd, German	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Shih Tzu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Spaniel, Cavalier King Charles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Spaniel, Cocker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Spaniel, English Springer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Terrier, American Pit Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Terrier, Fox (Smooth)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Terrier, Jack Russell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Terrier, Staffordshire Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	Terrier, West Highland White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	DOG	_Unidentified_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	OWN	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2014	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3	79	65
Chatham Islands	2015	DOG	_ALL-PURE_	279	104	175	2	1	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	_ALL-CROSS_	141	52	89	2	4	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	_ALL-DOGS_	420	156	264	4	5	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Beagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Bichon Frise	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Boxer	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Cattle, Australian	14	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Chihuahua, Long Coat	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Chihuahua, Smooth Coat	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Collie, Bearded	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Collie, Border	54	18	36	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Collie, Rough	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Collie, Smooth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Greyhound	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Heading	28	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Huntaway	57	23	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Maltese	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Poodle, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Poodle, Toy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Retriever, Golden	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Retriever, Labrador	41	15	26	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Rottweiler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Schnauzer, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Shepherd, German	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Shih Tzu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Spaniel, Cavalier King Charles	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Spaniel, Cocker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Spaniel, English Springer	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Terrier, American Pit Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Terrier, Fox (Smooth)	14	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Terrier, Jack Russell	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Terrier, Staffordshire Bull	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	Terrier, West Highland White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	DOG	_Unidentified_	32	11	21	1	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	OWN	_	0	0	0	0	0	0	0	0	0	155	1	0	0	0	0	0
Chatham Islands	2015	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2015	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Chatham Islands	2016	DOG	_ALL-PURE_	270	102	168	1	3	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	_ALL-CROSS_	144	52	92	2	4	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	_ALL-DOGS_	414	154	260	3	7	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Beagle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Bichon Frise	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Boxer	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Cattle, Australian	11	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Chihuahua, Long Coat	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Chihuahua, Smooth Coat	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Collie, Bearded	10	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Collie, Border	44	15	29	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Collie, Rough	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Collie, Smooth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Greyhound	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Heading	35	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Huntaway	55	21	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Maltese	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Poodle, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Poodle, Toy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Retriever, Golden	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Retriever, Labrador	40	15	25	0	1	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Rottweiler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Schnauzer, Miniature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Shepherd, German	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Shih Tzu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Spaniel, Cavalier King Charles	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Spaniel, Cocker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Spaniel, English Springer	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Terrier, American Pit Bull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Terrier, Fox (Smooth)	12	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Terrier, Jack Russell	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Terrier, Staffordshire Bull	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	Terrier, West Highland White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	DOG	_Unidentified_	31	12	19	0	1	0	0	0	0	0	0	0	0	0	0	0
Chatham Islands	2016	OWN	_	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0
Christchurch City	2001	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	223	165652	0
Christchurch City	2002	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	265	143875	0
Christchurch City	2003	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	237	108757	0
Christchurch City	2004	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	434	94477	0
Christchurch City	2005	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	599	129385	0
Christchurch City	2006	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	730	205343	180477
Christchurch City	2007	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	915	245463	247637
Christchurch City	2008	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	855	291832	276674
Christchurch City	2009	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	1004	294355	397490
Christchurch City	2010	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	298594	337550
Christchurch City	2011	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	1257	355725	326227
Christchurch City	2012	JST	_	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0
Christchurch City	2012	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	1146	353307	332166
Christchurch City	2013	DOG	_ALL-PURE_	22335	10630	11705	13800	13519	206	33	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	_ALL-CROSS_	13381	6474	6907	8802	9120	195	23	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	_ALL-DOGS_	35716	17104	18612	22602	22639	401	56	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Beagle	276	135	141	186	169	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Bichon Frise	1407	669	738	922	879	1	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Boxer	454	220	234	286	302	3	2	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Cattle, Australian	113	62	51	74	54	4	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Chihuahua, Long Coat	376	190	186	173	245	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Chihuahua, Smooth Coat	115	60	55	60	72	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Collie, Bearded	138	65	73	83	61	1	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Collie, Border	1153	566	587	707	647	4	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Collie, Rough	62	29	33	28	23	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Collie, Smooth	58	33	25	6	2	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Greyhound	151	68	83	101	93	2	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Heading	100	52	48	13	6	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Huntaway	380	167	213	136	121	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Maltese	268	115	153	156	170	0	0	0	0	0	0	0	0	0	0	0
Christchurch City	2013	DOG	Poodle, Miniature	291	129	162	192	181	0	0	0	0	0	0	0	0	0	0	0
